MEETING_ROOM,n
room 70,1
room 91,1
room 94,1
room 97,9
room o18,6
room sow 228,1
roosevelt,410
roosevelt room,145
roosevelt room - ww,4
roosevelt room/oval,4
rose garde,573
rose garden,10
rose garden event,2
rr,13
rr rosevel,1
s0w236,34
sb- 220,1
sb-220,5
sb-221,2
sb-236,12
sb 229,6
sb 235,1
sb 236,2
sb219,2
sb22,1
sb220,5
sb221,1
sb233 sb2,1
sb235,3
sb235 401,1
sb236,41
sca,224
sca rm014,2
sdr res,1
sec. of wa,3
secretary,9
secretary of war roo,2
sherman pa,3
sherman park,2
sherman park/lower e,2
sit room,2
sit room/w,1
sitroom,27
situation,111
situation room,17
sl,114
sms,580
sms-exec,14
sms-large,4
sms-small,5
sms 374,15
sms 376,1
sms breakout room,1
sms conference room,1
sms exec,290
sms exec 374,4
sms exec 3rd fl,2
sms exec 3rd floor,2
sms exec c,2
sms exec/3,3
sms large,573
sms large room 374,2
sms rm 374,1
sms room 374,3
sms rooms,6
sms small,129
sms suite,1
sms/374,1
sms/390,1
sms/ww,2
smsmall,1
south cour,283
south court,48
south court aud,6
south court auditori,152
south driv,28
south drive,18
south facade,1
south grou,19
south grounds,8
south lawn,34116
south lawn/res,278
south lawn/ww,3
south port,2
south portico,8
southlawn,3
sow,27
sow-236,4
sow-a,12
sow 203b,3
sow 2206,9
sow 226,123
sow 228,211
sow 230,21
sow 230 a,8
sow 230 b,18
sow 230a,397
sow 230b,168
sow 234,123
sow 236,186
sow 320b,1
sow eeob 230b,3
sow suite,11
sow suite 236,1
sow226,4
sow230a,62
sow230b,20
sow234,5
sow236,8
sowa,2
sp-236,1
ss 74,1
stairway near room 1,36
stata plac,12
state,4
state department lib,2
state dini,53
state dining,2
state dining room,60
state floo,948
state floor,1581
state palc,5
state pl.,18
state plac,807
state place,324
state place and west,1
state place for secu,2
state place parking,10
staying in car - not,2
storeroom,5
storeroom/penn ave d,1
suite,7
suite 18 usss badge,1
suite 18 usss pass o,2
suite 3019,1
suite 5200,7
suite 5200 office 53,1
sullivans office,2
tbc,6
tbd,185
tbd halloween tour,1
tech,1
tent,1105
tent / first floor,674
tent and first floor,3
tent/basement,117
tent/first floor,732
tent/residence,326
terry wolff,1
the residence east r,3
the white,1
theater,2
tour,14
tower,1
truman bow,1
truman bowling alley,28
tsd-pdl,1
upper east,13
upper east exec,1
upper east exec ave,3
