"Description","Count"
"team waves",201
"8.30am - group tours",201
"time change per mayerson/",200
"the event is on the state floor/date change made @ the request of c. mcnamara",200
"sba gathering",200
"military personnel (usaf) for the china state arrival",200
"halloween party",200
"group tourchanged from eddie to ethan per eddiechanged time from 0830 to 0700 per ethan",200
"group tourchanged from eddie to ethan per eddie",200
"group tour clear",200
"thank you",199
"2 pm general guests",199
"reception with lgbt community members",198
"members of the military honor guards. the president is not in attendance",198
"marine band 2 for garden tours",198
"bowling party",198
"add ons - group tour",198
"wh ed nps staff",197
"todastwd",197
"time change per k. dickerson changed from 1400 to 1330 (jb)",197
"talent show rehearsal includes talent chaperones production team staff local program staff and vendors",197
"reception with leaders of labor organizations",197
"office of national aids policy meeting",197
"meeting with science club members",197
"latino briefing",196
"team",195
"supreme court reception",195
"superbowl party",195
"none",195
"group tourchanged time/date from 3/16 @ 0830 to 3/15 @ 1130 per ethan",195
"group tour time change per requester",195
"for 3 pm on tues 11/5 southeast gate for east room with flotus",195
"dinner for greek patriarch",195
"730am group tours",195
"time change made at the request of m. doebler",194
"requestor called to change time from 1700hrs to 1315hrs dk 03/20/12 1634hrs",194
"potus 9.16 speech (171 guests) for 10:45 am at southeast gate. room change per requestor",194
"jamison dance event performance",194
"08:30 am tour",194
"thank you!",191
"holiday open houses",191
"guest list for commanderinchiefs trophy presentation",191
"american friends of lubavitch",191
"updated room per requestor",190
"sports team indoor event",190
"hosted by ope dpc and usda",190
"all are members of the us house of representatives",190
"time changed per kyle",189
"navy band for garden tours",188
"gro up tour",188
"guests for commander in chief trophy presentation",187
"add alexandra kahan to u number access x",187
"11am talent arrival",187
"residenceeast room",186
"onap meeting",186
"marine corps honor guard members",186
"group tourchanged from eddie to ethan per eddiechanged time from 0900 to 1130 per ethan",186
"cinco de mayo breakfast",186
"approved by 24 hr waves",185
"7/4 volunteers",185
"susan j. komen reception",184
"military personnel for the ambassador credentialing ceremony",184
"military personnel for an ambassador credentialing ceremony",184
"military ceremonial troops for ambassador credentiialing ceremony",184
"marine band members",184
"list updated 07/28/2011 per lt. gregory / atsaic huse. by ss bolds/updated 10/3/11/updated 11/30/11",184
"group tour/time changed by gk/late submission delayed processing",184
"attendees will enter through se gate",184
"ope briefing for interns",183
"general audience guests",183
"earth day reception",183
"audience for sports team event",183
"the white house offices of presidential personnel and public engagement invite obama administration appointees to an armchair discussion with valerie jarrett senior advisor to the president and jeh johnson",182
"note not all of the guests will attend so we will end up with fewer attendees",182
"healthcare meeting",182
"group tour-changed from 2000 to 0800 per chelsea",182
"eo sigining",182
"10am- staff tours",182
"white house summit on financial capaiblity in south court auditorium",181
"time change per lierman jla",181
"the event is scheduled for the south lawn but in case of bad weather part of the event may be inside the residence on the state floor",181
"please allow jonathan asen and irene hsu access to add people to this u# as well",181
"no prinicpals- haitian flag day event",181
"names merged to u11299",181
"military honor guards for the ambassador credentials",181
"group tour reclear name",181
"briefing for us commission on presidential scholars",181
"outreach",180
"military honors guards",180
"merged w/u40422",180
"marine band for potus event",179
"fape reception",179
"fall 2016 who interns",179
"domestic violenct awareness month large meeting",179
"ceremony will be held on the south lawn and team will also visit the state floor",179
"usss group tour",178
"time change change v. mccullough",178
"room chng per dequesada",178
"interagency council on homelessness",178
"military honor guard units",177
"la chamber of commerce briefing",177
"12:30pm group tours",177
"women?s history month event featuring an armchair discussion with valerie jarrett sylvia burwell sally jewell penny pritzker",176
"packers team",176
"medal of honor recipients and their families will greet the president in the oval office",175
"cookie offerman 63274 is the lead for this event",175
"ccai angels in adoption reception",175
"brieffing",175
"military members supporting the ambassador credentialing ceremony",174
"guests for the boston bruins event",174
"ew tour must enter through sherman park ///appointment canceled per collin burton",174
"childhood obesity launch event",174
"time changed per paul",173
"national medals of science ceremony and reception",173
"group tour kitchen garden tour",173
"rain site is east room",172
"public engagement briefing",172
"lista briefing",172
"hhs health summit",172
"healthy eating event",172
"afam policy briefing*",172
"**please also clear for 11:00am since many will be leaving the building and coming back",172
"ride 2 recovery kick-off",171
"indian treaty room",171
"forum on transforming it mgmt",171
"forum on it management reform",171
"cfc campaign",170
"830am - staff tours",170
"10am - group tours**",170
"potus is doing 10 minute drop by",169
"i will be unavailable at the times attendees will arrive",169
"young nonprofit professional network event",168
"screening will be attended by vpotus and flotus",168
"marine band for potus reception",168
"whip homecoming",167
"policy briefing for african american leaders",167
"military honor guard members supporting the ambassador credentially ceremony",167
"vpotus recovery act event",166
"group tour/per william date changed from 9/23 to 9/24",166
"event",166
"10am - group tours",166
"room # changed per victoria mccullough",165
"contact # change per requestor",165
"turkey pardoning",164
"potus event on the health care bill",164
"police ceremony",164
"per mr. lierman chg time on appt. mw",164
"national council of negro women",164
"group will be coming over from eeob at 3:10 pm",164
"830am tours",164
"10am tours",164
"time change per requestorcontact annie bollinger if people need to be recleared",163
"the event is on the state floor/time change made at the request of c. mcnamara",163
"special guests (school children) for arrival ceremony on south grounds. entering at ne gate, proceeding to south grounds through a1",163
"mlb rookie event",163
"military honor guard personnel for the ambassador credentialing ceremony",163
"housing rental policy forum",163
"guests for women in military tea with flotus",163
"film festival",163
"appointee leadership conference",163
"almost all offcomplex people have already been cleared on u25621. thank you!",163
"12pm group tour**",163
"small business event",162
"mentoring event**",162
"jonathan asen can add to this app. per mcnamara",162
"guests will arrive for this event to the southeast gate",162
"tennis event**",161
"jewish outreach briefing",161
"bullying conference east room 0930-1130 eeob southcourt auditorium 1130-1530",161
"21st century police briefing",161
"2010 presidential scholars photo",161
"u40236",160
"time changed from 1600 hrs from 1340 hrs per kyle lierman. yt on 10/13/11 @ 1026hrs",159
"breast cancer reception",159
"world aids day event",158
"white house africa sumit briefing",158
"updated room # per requestor time changed from 1400 hrs to 1500 hrs per mehdhi alhassani yt @ 1358 hrs on 11/11/11",158
"time changed from 1630 to 1445 per francesca",158
"time change at the request of the requestor. kdc 9/18 @ 17:36",158
"police tours",158
"my brothers keeper/poetry event",158
"military honor guards supporting the ambassador credentialing event",158
"large science and technology briefing",158
"group tour now",158
"cancelled per pass holder renee baharaeen",158
"small business jobs act bill signing",157
"sba event in the rose garden",157
"nat'l small business assoc. summit",157
"group tour dob reclear",157
"230pm - open house",157
"youth briefing",156
"time change from 1500 1300 per laura",156
"military honor guards supporting the ambassador credentialing ceremony",156
"america's great outdoors rollout event",156
"time c hanged per the requestor",155
"merged w/u40399",155
"location changed from wh to eeob",155
"group tourchanged from eddie to ethan per eddiechanged from 0930 to 1200 per ethan",155
"east room/grand foyer/state dining room",155
"council on women and girls meeting",155
"air force honor guard members for the state arrival rehearsal",155
"state dept. murrow scholars",154
"requestor called to change time to the appt. 11/20 @ 0915",154
"youth event - health occupation student association",153
"time change per l. kelly",153
"state of the union watch party",153
"marine one arrival viewing",153
"health reform",153
"religions for peace meeting",152
"regular appts",152
"nfl champions visit and photo",152
"military rosters for ambassador credentialing ceremony. the president is not in attendance",152
"honor guard on south drive",152
"lgbt meeting",151
"time change made at the request of k. coccaro",150
"nfu brieifng set up by ope",150
