"APPT_END_DATE","Count"
"2012-06-23 23:59:00",3941
"2011-08-13 23:59:00",3941
"2015-06-16 23:59:00",3939
"2016-03-17 23:59:00",3937
"2015-12-18 23:59:00",3935
"2015-10-24 23:59:00",3933
"2012-06-30 23:59:00",3927
"2010-04-28 23:59:00",3927
"2015-10-03 23:59:00",3926
"2016-05-03 23:59:00",3917
"2014-10-25 23:59:00",3915
"2011-04-22 23:59:00",3912
"2014-05-31 23:59:00",3911
"2010-04-21 23:59:00",3910
"2010-06-22 23:59:00",3909
"2010-01-16 23:59:00",3909
"2012-06-09 23:59:00",3905
"2010-10-15 23:59:00",3905
"2010-06-19 23:59:00",3904
"2014-06-28 23:59:00",3903
"2015-11-07 23:59:00",3901
"2013-11-26 23:59:00",3900
"2010-06-26 23:59:00",3900
"2015-05-23 23:59:00",3895
"2015-05-09 23:59:00",3895
"2010-06-09 23:59:00",3890
"2011-09-30 23:59:00",3889
"2015-10-01 23:59:00",3888
"2009-10-30 23:59:00",3887
"2009-12-10 19:30:00",3886
"2014-07-16 23:59:00",3884
"2011-09-09 23:59:00",3884
"2015-12-07 23:59:00",3883
"2016-05-07 23:59:00",3882
"2010-07-17 23:59:00",3882
"2014-03-22 23:59:00",3881
"2010-10-07 23:59:00",3880
"2014-10-11 23:59:00",3879
"2014-09-20 23:59:00",3875
"2010-06-12 23:59:00",3874
"2009-10-16 23:59:00",3872
"2012-05-05 23:59:00",3871
"2014-05-10 23:59:00",3869
"2012-10-05 23:59:00",3868
"2016-05-17 23:59:00",3866
"2012-07-11 23:59:00",3866
"2012-11-29 23:59:00",3865
"2015-11-10 23:59:00",3863
"2012-04-14 23:59:00",3863
"2011-04-13 23:59:00",3862
"2016-06-04 23:59:00",3859
"2016-09-23 23:59:00",3856
"2012-07-26 23:59:00",3854
"2010-03-23 23:59:00",3853
"2016-01-09 23:59:00",3850
"2015-12-20 23:59:00",3850
"2011-03-25 23:59:00",3850
"2016-03-08 23:59:00",3849
"2012-06-08 23:59:00",3849
"2015-05-16 23:59:00",3846
"2013-12-06 23:59:00",3846
"2014-05-06 23:59:00",3843
"2011-07-26 23:59:00",3842
"2016-08-09 23:59:00",3839
"2011-10-11 23:59:00",3838
"2015-07-28 23:59:00",3834
"2014-07-05 23:59:00",3832
"2012-04-03 23:59:00",3829
"2014-04-22 23:59:00",3827
"2016-09-14 23:59:00",3825
"2012-07-07 23:59:00",3825
"2015-11-14 23:59:00",3818
"2014-08-02 23:59:00",3818
"2015-03-07 23:59:00",3816
"2010-07-20 23:59:00",3816
"2010-07-14 23:59:00",3816
"2014-05-17 23:59:00",3815
"2010-06-23 23:59:00",3815
"2016-03-05 23:59:00",3810
"2011-05-19 23:59:00",3810
"2015-10-15 23:59:00",3806
"2015-11-21 23:59:00",3805
"2010-04-16 23:59:00",3805
"2012-04-17 23:59:00",3804
"2016-03-29 23:59:00",3803
"2015-03-18 23:59:00",3803
"2011-03-30 23:59:00",3801
"2015-06-20 23:59:00",3797
"2009-09-25 23:59:00",3796
"2014-07-31 23:59:00",3793
"2015-06-06 23:59:00",3792
"2016-03-16 23:59:00",3788
"2010-11-05 23:59:00",3788
"2010-07-16 23:59:00",3788
"2009-12-16 23:59:00",3788
"2012-09-15 23:59:00",3786
"2012-07-14 23:59:00",3784
"2012-09-28 23:59:00",3781
"2010-03-26 23:59:00",3775
"2014-07-10 23:59:00",3774
"2014-06-24 23:59:00",3774
"2014-08-16 23:59:00",3771
"2014-08-09 23:59:00",3769
"2011-02-11 23:59:00",3767
"2009-10-10 23:59:00",3766
"2014-11-22 23:59:00",3765
"2010-07-10 23:59:00",3763
"2010-08-24 23:59:00",3762
"2010-04-01 23:59:00",3760
"2015-05-14 23:59:00",3759
"2014-05-03 23:59:00",3754
"2014-06-14 23:59:00",3750
"2015-05-30 23:59:00",3748
"2016-03-24 23:59:00",3743
"2012-09-22 23:59:00",3737
"2011-05-06 23:59:00",3734
"2012-08-18 23:59:00",3732
"2010-07-13 23:59:00",3728
"2015-03-10 23:59:00",3724
"2010-10-02 23:59:00",3724
"2010-05-22 23:59:00",3722
"2011-09-23 23:59:00",3721
"2010-08-06 23:59:00",3720
"2012-03-13 23:59:00",3719
"2016-07-28 23:59:00",3717
"2010-12-09 23:59:00",3717
"2014-02-14 23:59:00",3715
"2012-10-24 23:59:00",3715
"2010-08-14 23:59:00",3710
"2016-06-02 23:59:00",3709
"2012-04-24 23:59:00",3707
"2010-08-18 23:59:00",3707
"2012-02-17 23:59:00",3706
"2009-10-23 23:59:00",3706
"2014-02-07 23:59:00",3705
"2015-10-31 23:59:00",3700
"2012-10-25 23:59:00",3695
"2016-09-03 23:59:00",3693
"2012-09-21 23:59:00",3692
"2015-09-17 23:59:00",3684
"2011-03-18 23:59:00",3684
"2010-08-03 23:59:00",3682
"2015-04-30 23:59:00",3681
"2012-10-27 23:59:00",3678
"2015-09-30 23:59:00",3675
"2012-06-16 23:59:00",3673
"2016-07-27 23:59:00",3671
"2010-08-19 23:59:00",3671
"2012-03-02 23:59:00",3670
"2010-04-08 23:59:00",3663
"2016-09-10 23:59:00",3661
"2009-11-21 23:59:00",3656
"2015-07-09 23:59:00",3653
"2011-04-05 23:59:00",3647
"2010-05-25 23:59:00",3644
"2016-05-18 23:59:00",3642
"2016-08-04 23:59:00",3641
"2016-02-13 23:59:00",3637
"2015-09-12 23:59:00",3636
"2016-04-07 23:59:00",3632
"2013-02-22 23:59:00",3631
"2011-05-05 23:59:00",3631
"2015-06-25 23:59:00",3629
"2011-11-10 23:59:00",3627
"2011-02-04 23:59:00",3625
"2010-05-08 23:59:00",3625
"2015-11-18 23:59:00",3623
"2010-04-07 23:59:00",3623
"2012-03-01 23:59:00",3622
"2011-07-13 23:59:00",3619
"2012-06-13 23:59:00",3612
"2012-03-21 23:59:00",3612
"2011-09-21 23:59:00",3611
"2015-05-20 23:59:00",3604
"2014-06-26 23:59:00",3603
"2015-04-15 23:59:00",3602
"2015-06-03 23:59:00",3597
"2011-07-27 23:59:00",3596
"2011-04-06 23:59:00",3596
"2011-09-03 23:59:00",3594
"2016-06-16 23:59:00",3592
"2016-09-21 23:59:00",3589
"2015-11-20 23:59:00",3588
"2010-07-28 23:59:00",3587
"2014-08-23 23:59:00",3585
"2011-07-01 23:59:00",3584
"2015-10-28 23:59:00",3580
"2015-09-16 23:59:00",3578
"2009-10-24 23:59:00",3578
"2016-04-02 23:59:00",3577
"2012-06-02 23:59:00",3572
"2012-04-12 23:59:00",3568
"2011-06-08 23:59:00",3567
"2010-03-16 23:59:00",3566
"2014-04-29 23:59:00",3565
"2012-11-16 23:59:00",3564
"2011-10-27 23:59:00",3563
"2010-05-15 23:59:00",3563
"2011-03-15 23:59:00",3559
"2010-05-01 23:59:00",3559
"2015-10-06 23:59:00",3558
"2011-06-03 23:59:00",3556
"2010-07-02 23:59:00",3555
"2010-03-31 23:59:00",3554
"2012-03-07 23:59:00",3553
"2016-06-28 23:59:00",3546
"2015-03-19 23:59:00",3543
"2011-05-11 23:59:00",3543
"2011-03-08 23:59:00",3540
"2009-11-06 23:59:00",3540
"2009-10-31 23:59:00",3537
"2011-07-12 23:59:00",3535
"2010-07-27 23:59:00",3534
"2015-02-25 23:59:00",3532
"2014-03-19 23:59:00",3532
"2011-08-19 23:59:00",3529
"2012-09-01 23:59:00",3528
"2010-07-09 23:59:00",3528
"2010-01-30 23:59:00",3527
"2010-11-16 23:59:00",3521
"2015-04-09 23:59:00",3518
"2011-04-21 23:59:00",3518
"2013-03-15 23:59:00",3514
"2012-03-15 23:59:00",3510
"2015-06-18 23:59:00",3509
"2014-04-02 23:59:00",3509
"2010-03-09 23:59:00",3508
"2016-07-07 23:59:00",3503
"2016-07-06 23:59:00",3499
