"UIN","Count"
"u12367",376
"u09779",376
"u08933",376
"u04294",376
"u00072",376
"u90257",375
"u85540",375
"u77089",375
"u69214",375
"u63300",375
"u61614",375
"u53915",375
"u53474",375
"u46907",375
"u40583",375
"u33819",375
"u29161",375
"u27121",375
"u25598",375
"u24699",375
"u23297",375
"u12683",375
"u09107",375
"u05247",375
"u01339",375
"u01233",375
"u99057",374
"u98928",374
"u95450",374
"u82465",374
"u74941",374
"u67088",374
"u66881",374
"u62365",374
"u57690",374
"u50611",374
"u48671",374
"u36087",374
"u34959",374
"u30837",374
"u27209",374
"u27200",374
"u24999",374
"u23222",374
"u12061",374
"u05154",374
"u99268",373
"u99123",373
"u97971",373
"u89845",373
"u88749",373
"u88406",373
"u84866",373
"u74310",373
"u68308",373
"u66377",373
"u62464",373
"u62070",373
"u61802",373
"u61405",373
"u57788",373
"u54025",373
"u53641",373
"u50012",373
"u46015",373
"u44330",373
"u39696",373
"u37054",373
"u27408",373
"u26192",373
"u23153",373
"u19969",373
"u15323",373
"u14243",373
"u13245",373
"u12876",373
"u04304",373
"u03777",373
"u01801",373
"u92682",372
"u90180",372
"u89898",372
"u89353",372
"u88400",372
"u84896",372
"u80580",372
"u68257",372
"u67729",372
"u65755",372
"u65148",372
"u62848",372
"u61643",372
"u56086",372
"u54103",372
"u46900",372
"u44275",372
"u34246",372
"u30863",372
"u30436",372
"u24718",372
"u20654",372
"u18211",372
"u15528",372
"u10693",372
"u96257",371
"u94253",371
"u87544",371
"u84026",371
"u78279",371
"u70655",371
"u69330",371
"u64541",371
"u57694",371
"u56589",371
"u53930",371
"u53523",371
"u50614",371
"u49007",371
"u43225",371
"u36262",371
"u32831",371
"u30973",371
"u30286",371
"u29160",371
"u27476",371
"u20911",371
"u18367",371
"u16280",371
"u14831",371
"u13293",371
"u12582",371
"u92603",370
"u91105",370
"u87075",370
"u83154",370
"u81473",370
"u66561",370
"u64545",370
"u64208",370
"u62120",370
"u61636",370
"u57683",370
"u55624",370
"u52359",370
"u50079",370
"u48189",370
"u46052",370
"u44210",370
"u43523",370
"u32430",370
"u30404",370
"u29245",370
"u27812",370
"u27603",370
"u24582",370
"u20369",370
"u19864",370
"u16543",370
"u13009",370
"u12702",370
"u07627",370
"u04903",370
"u97313",369
"u97111",369
"u93939",369
"u92607",369
"u89929",369
"u82851",369
"u68589",369
"u68573",369
"u66086",369
"u62409",369
"u61814",369
"u58336",369
"u56623",369
"u55017",369
"u52256",369
"u50669",369
"u49705",369
"u47574",369
"u45070",369
"u34666",369
"u34645",369
"u34598",369
"u28065",369
"u27111",369
"u24774",369
"u20280",369
"u19253",369
"u15070",369
"u13847",369
"u12554",369
"u10718",369
"u10657",369
"u08494",369
"u06218",369
"u04098",369
"u03087",369
"u98584",368
"u98029",368
"u96589",368
"u92218",368
"u90955",368
"u90466",368
"u90139",368
"u89435",368
"u88789",368
"u88443",368
"u83770",368
"u65279",368
"u64975",368
"u64297",368
"u58911",368
"u56084",368
"u54145",368
"u54019",368
"u53395",368
"u52812",368
"u40165",368
"u40043",368
"u38535",368
"u35011",368
"u32303",368
"u32072",368
"u30825",368
"u24760",368
"u21724",368
"u19940",368
"u19610",368
"u18561",368
"u16070",368
"u14976",368
"u14329",368
"u11495",368
"u08545",368
"u06036",368
"u04971",368
"u04328",368
"u03780",368
"u98506",367
"u97349",367
"u94952",367
"u92455",367
"u90383",367
"u89911",367
"u86731",367
"u86511",367
"u85456",367
"u84090",367
"u79792",367
"u71560",367
"u71205",367
"u69041",367
"u64550",367
"u62296",367
"u56397",367
"u56335",367
"u52089",367
"u51556",367
"u51395",367
"u49936",367
"u49734",367
"u48826",367
"u45227",367
"u43901",367
"u43231",367
"u41039",367
"u40364",367
"u39840",367
"u36842",367
"u36724",367
"u31657",367
"u30577",367
"u27950",367
"u25365",367
"u24920",367
"u23290",367
"u22434",367
"u20706",367
"u19591",367
"u14834",367
"u11172",367
"u10736",367
"u09958",367
"u08111",367
"u06061",367
"u04763",367
"u04412",367
"u04068",367
"u99067",366
"u90127",366
"u87186",366
"u86695",366
"u79514",366
"u68149",366
"u62419",366
"u55228",366
"u53754",366
"u50762",366
"u50515",366
"u48297",366
"u47371",366
"u46284",366
"u44682",366
"u44667",366
"u41143",366
"u40986",366
"u40031",366
"u36432",366
"u33800",366
"u28864",366
"u24398",366
"u24388",366
"u24265",366
"u23861",366
"u16065",366
"u10929",366
