"APPT_CANCEL_DATE","Count"
"2014-04-09 16:11:00",5
"2014-04-08 18:07:00",5
"2014-04-08 18:04:00",5
"2014-04-08 18:02:00",5
"2014-04-08 18:01:00",5
"2014-04-08 17:57:00",5
"2014-04-08 12:38:00",5
"2014-04-02 17:24:00",5
"2014-03-21 16:27:00",5
"2014-03-12 15:28:00",5
"2014-03-12 15:27:00",5
"2014-03-12 15:26:00",5
"2014-03-12 15:25:00",5
"2014-03-12 15:23:00",5
"2014-03-12 15:21:00",5
"2014-03-12 15:15:00",5
"2014-03-12 15:14:00",5
"2014-03-06 13:53:00",5
"2014-02-28 18:28:00",5
"2014-02-05 17:52:00",5
"2014-01-14 10:09:00",5
"2013-12-20 18:34:00",5
"2013-12-06 18:27:00",5
"2013-12-06 18:18:00",5
"2013-11-21 09:19:00",5
"2013-11-06 09:39:00",5
"2013-11-06 09:38:00",5
"2013-06-20 16:47:00",5
"2013-06-18 16:18:00",5
"2013-06-13 10:23:00",5
"2013-06-13 08:52:00",5
"2013-04-11 17:52:00",5
"2013-03-05 13:15:00",5
"2013-01-15 17:02:00",5
"2012-12-05 10:39:00",5
"2012-10-17 09:10:00",5
"2012-10-15 10:50:00",5
"2012-09-28 11:08:00",5
"2012-09-07 15:26:00",5
"2012-08-10 10:42:00",5
"2012-07-12 17:54:00",5
"2012-07-12 15:03:00",5
"2012-06-28 14:31:00",5
"2012-06-15 11:18:00",5
"2012-05-09 11:51:00",5
"2012-03-30 17:22:00",5
"2012-03-23 14:20:00",5
"2012-02-29 12:06:00",5
"2012-02-10 17:10:00",5
"2011-12-12 17:17:00",5
"2011-11-09 15:50:00",5
"2011-11-09 15:49:00",5
"2011-10-27 16:42:00",5
"2011-10-27 14:56:00",5
"2011-10-27 14:53:00",5
"2011-10-27 14:52:00",5
"2011-08-04 14:23:00",5
"2011-06-10 11:51:00",5
"2011-06-03 16:32:00",5
"2011-04-11 18:38:00",5
"2011-04-08 06:08:00",5
"2011-04-05 10:27:00",5
"2011-03-14 15:57:00",5
"2011-03-04 17:09:00",5
"2011-02-01 09:05:00",5
"2011-01-25 17:19:00",5
"2011-01-03 13:51:00",5
"2010-12-09 06:33:00",5
"2010-11-22 11:04:00",5
"2010-11-19 17:58:00",5
"2010-11-16 18:42:00",5
"2010-09-16 09:30:00",5
"2010-08-09 16:16:00",5
"2010-08-04 11:25:00",5
"2010-07-29 17:34:00",5
"2010-07-28 12:05:00",5
"2010-07-22 12:06:00",5
"2010-07-22 11:45:00",5
"2010-07-07 11:19:00",5
"2010-06-22 08:56:00",5
"2010-06-03 17:04:00",5
"2010-05-07 17:51:00",5
"2010-04-21 18:34:00",5
"2010-04-15 11:15:00",5
"2010-04-02 19:21:00",5
"2010-03-30 00:00:00",5
"2010-03-25 11:36:00",5
"2010-03-12 00:00:00",5
"2010-03-04 00:00:00",5
"2010-02-23 17:50:00",5
"2010-02-09 15:38:00",5
"2010-01-28 14:08:00",5
"2010-01-15 15:03:00",5
"2010-01-14 17:58:00",5
"2009-12-31 16:16:00",5
"2009-12-30 16:14:00",5
"2009-12-22 10:28:00",5
"2009-12-07 19:59:00",5
"2009-12-07 12:43:00",5
"2009-11-24 12:05:00",5
