"MEETING_ROOM","Count"
"oval (pres",18
"neob penth",18
"neob 3001",18
"ike's eate",18
"family din",18
"ew220",18
"ew room 20",18
"ew lobby",18
"ew 220",18
"eeob rm 25",18
"eeob 88",18
"eeob 448",18
"eeob 302a",18
"eeob 284",18
"eeob 282",18
"eeob 201",18
"eeob 167",18
"eeob 153",18
"dip rm",18
"crneoboa",18
"99",18
"62580",18
"556",18
"530 eeob",18
"52271",18
"5104.0",18
"374 exec",18
"36/bowling",18
"315",18
"164",18
"10103.0",18
"10003",18
"0e0b 037",18
"ww cos ann",17
"statedinin",17
"sb221",17
"room 94 ee",17
"room 226",17
"rm 210",17
"o14",17
"northwest",17
"north cour",17
"neob 1st",17
"ew203",17
"ew/ east r",17
"eob 178",17
"eeob basem",17
"eeob 69",17
"eeob 599",17
"eeob 186",17
"eeob 138",17
"eeob #13",17
"east wing 204",17
"clinic",17
"82.0",17
"64245",17
"49w",17
"4:30",17
"39 bowling",17
"324",17
"2211 neob",17
"2200",17
"208cordel",17
"109a",17
"10031",17
"100.0",17
"037boweli",17
"wwlobby",16
"ww/palm ro",16
"ww ward",16
"ww vp offi",16
"ww mess ro",16
"ww executi",16
"ww - brief",16
"whmess",16
"west exc a",16
"w",16
"valerie ja",16
"staff dini",16
"smslarge",16
"sms 374",16
"sb214",16
"rososevelt",16
"room 25",16
"room #486",16
"rm 037 bow",16
"princeton",16
"o19",16
"neob only",16
"neob 550",16
"jfk",16
"frs 180a",16
"ew/eeob",16
"ew 2nd flo",16
"eeob sow",16
"eeob rm 5",16
"eeob bowling",16
"eeob 404",16
"eeob 312",16
"eeob 264",16
"eeob 211/2",16
"eeob 038",16
"dip and ma",16
"bowilng al",16
"9206",16
"7235",16
"5325a",16
"52272",16
"4th floor",16
"485 eeob",16
"445 ipc",16
"4430 bc",16
"410",16
"3205",16
"316 then",16
"27 bowli",16
"249",16
"124 eeob",16
"112 east",16
"ww/nsa",15
"ww 2",15
"wh/mess",15
"wh garden",15
"wh east wi",15
"vps west",15
"room #484",15
"rm 331",15
"pro office",15
"private di",15
"penthouse",15
"oeob474/in",15
"o10",15
"neob 6116",15
"neob 5200",15
"jpn 230",15
"ewstate r",15
"ew room 1",15
"ew 1000",15
"eeob rm 68",15
"eeob 62",15
"eeob 251",15
"eeob 215",15
"eeob 181",15
"eeob 149",15
"eeob 147",15
"eeob 13",15
"eeob 073",15
"e. executi",15
"cafe",15
"alley",15
"9221",15
"75",15
"526",15
"44",15
"280a",15
"218b",15
"204 east",15
"109.0",15
"ww/outer o",14
"ww photo o",14
"ww main lo",14
"whsrsmall",14
"wh south l",14
"wh physici",14
"vpc",14
"truman roo",14
"state fl",14
"sow228",14
"sow eeob",14
"south law",14
"sg",14
"ser office",14
"room 8002",14
"room #94",14
"rm 10002",14
"residenc",14
"res/ofdr",14
"res physic",14
"press",14
"pfs admin",14
"neob 570",14
"madison pl",14
"ew211",14
"ew/library",14
"eeob476",14
"eeob 386",14
"eeob 330",14
"eeob 319",14
"eeob 305",14
"eeob 256",14
"e037",14
"coss offi",14
"bowling ro",14
"9104.0",14
"8226",14
"77",14
"6001h",14
"5217",14
"4200",14
"374 norms",14
"3200",14
"31",14
"306",14
"3021",14
"274/vp cer",14
"234.0",14
"21",14
"180 a",14
"17th/e st",14
"019 ll",14
"0.367",14
"ww press b",13
"ww mess fa",13
"ww-oval of",13
"wshr exec",13
"whsrwhsr e",13
"whsr/ww",13
"whsr jfk",13
"wh ground",13
"state floor/east rm",13
"sca (rando",13
"rr ww",13
"roos. rm.",13
"room 210/2",13
"room 039",13
"pfs",13
"neob 450",13
"n court co",13
"ews ebr",13
"ew/ww/eeo",13
"ew 100 / o",13
"eeob 576",13
"eeob 49",13
"eeob 457",13
"eeob 374 (",13
"eeob 263",13
"eeob 221",13
"cr550",13
"b235",13
"8221",13
"7217",13
"503",13
"379.0",13
"374 sms",13
"374 dns",13
"350 and 27",13
"230a eeob",13
"230.0",13
"229 @ 5:30",13
"209a",13
"2020 neob",13
"149",13
"112 ew",13
"ww/press o",12
"ww/ west w",12
"ww secon",12
"ww-ward ro",12
"whmo front",12
"wh press b",12
"wh cos off",12
"sitroom ex",12
"sit room/w",12
"se gate",12
"sb235 and",12
"sb226 and",12
"sb226",12
"room 94",12
"room 530",12
"room 238",12
"room 18",12
"room 030",12
"room #1023",12
"res dr. of",12
"private re",12
"pennsylvan",12
"open house",12
"oepb 037/b",12
"oeob037/bo",12
"lower eas",12
"gfl/ww",12
"g001",12
"flotus",12
"eeob 82",12
"eeob 67",12
"eeob 20",12
"eeob 132",12
"eeob 037an",12
"dip room/w",12
"dip rm/ww",12
"9th floor",12
"9227",12
"69281",12
"6025a",12
"55527",12
"430 test",12
"4104",12
"403",12
"4020",12
"374 sms e",12
"35",12
"274/vps c",12
"234 eeob",12
"228 room",12
"188a",12
"137c",12
"101103",12
"10007a",12
"019",12
"ww2nd floo",11
"ww/rosseve",11
"ww//main l",11
"ww vps of",11
"ww press s",11
"ww navy m",11
"ww navy",11
