Event,n
U01658,1
U01659,1
U01660,2
U01661,2
U01662,2
U01663,2
U01664,2
U01665,2
U01666,3
U01667,5
U01668,4
U01669,3
U01670,3
U01671,6
U01672,2
U01673,2
U01674,4
U01675,7
U01676,3
U01677,2
U01678,9
U01679,2
U01680,2
U01681,3
U01682,217
U01683,181
U01684,213
U01685,234
U01686,1
U01687,203
U01688,1
U01690,11
U01692,251
U01693,18
U01694,3
U01695,2
U01696,2
U01697,1
U01698,1
U01699,11
U01701,194
U01702,5
U01703,4
U01704,148
U01706,132
U01707,3
U01708,250
U01709,8
U01710,39
U01713,1
U01714,2
U01716,1
U01717,5
U01718,2
U01719,1
U01721,6
U01722,2
U01723,2
U01724,8
U01725,4
U01726,6
U01727,2
U01728,3
U01729,3
U01730,2
U01731,6
U01732,2
U01733,4
U01734,3
U01735,250
U01736,2
U01737,2
U01738,4
U01739,5
U01740,6
U01741,14
U01742,5
U01743,3
U01744,1
U01745,1
U01746,2
U01747,2
U01748,3
U01749,6
U01750,4
U01751,2
U01752,1
U01753,6
U01755,1
U01756,2
U01757,2
U01758,1
U01759,7
U01760,7
U01761,5
U01763,6
U01764,3
U01765,2
U01766,4
U01767,2
U01768,3
U01769,5
U01770,9
U01771,3
U01772,1
U01773,1
U01776,3
U01777,1
U01778,2
U01779,39
U01780,2
U01781,7
U01782,4
U01783,3
U01784,10
U01785,12
U01786,1
U01787,2
U01788,1
U01789,3
U01790,4
U01791,2
U01792,4
U01793,2
U01794,2
U01795,4
U01796,1
U01797,4
U01798,2
U01799,19
U01800,1
U01801,3
U01802,2
U01803,2
U01804,2
U01807,8
U01808,3
U01809,2
U01810,5
U01811,2
U01812,18
U01813,6
U01814,2
U01816,4
U01817,4
U01818,5
U01819,3
U01820,4
U01821,1
U01822,2
U01823,2
U01824,31
U01825,8
U01826,2
U01827,39
U01828,1
U01829,20
U01830,2
U01831,1
U01832,1
U01833,3
U01834,50
U01835,4
U01836,6
U01837,8
U01838,3
U01839,6
U01840,2
U01841,4
U01842,1
U01843,39
U01845,2
U01846,4
U01847,4
U01848,2
U01849,4
U01850,3
U01851,2
U01852,1
U01853,2
U01854,2
U01855,2
U01856,4
U01857,4
U01858,2
U01859,4
U01860,4
U01861,1
U01862,4
U01863,1
U01864,4
U01865,2
U01866,2
U01867,2
U01868,1
U01869,2
U01870,4
U01871,2
U01872,6
U01873,4
U01874,26
U01875,5
U01876,1
U01877,2
U01878,64
U01879,2
U01880,3
U01881,2
U01882,4
U01883,4
U01884,6
U01885,3
U01886,2
U01887,7
U01888,2
U01889,6
U01890,2
U01891,2
U01892,2
U01893,2
U01894,2
U01895,4
U01896,3
U01897,2
U01898,2
U01899,2
U01900,2
U01901,3
U01902,2
U01903,3
U01904,4
U01905,2
U01906,2
U01907,4
U01909,2
U01910,2
U01911,4
U01912,10
U01913,6
U01914,2
U01915,3
U01916,2
U01917,4
U01918,2
U01920,2
U01921,4
U01922,6
U01923,2
U01924,6
U01925,2
U01926,1
U01927,4
U01928,2
U01929,2
U01930,5
U01931,2
U01932,1
U01933,5
U01934,2
U01935,5
U01936,1
U01937,4
U01938,2
U01939,4
U01940,12
U01941,7
U01942,4
U01943,1
U01944,6
U01945,4
U01946,4
U01947,2
U01948,2
U01950,3
U01951,8
U01952,4
U01953,1
U01954,8
U01955,3
U01956,2
U01957,1
U01958,2
U01959,2
U01960,5
U01961,4
U01962,2
U01963,4
U01964,2
U01965,1
U01966,2
U01967,2
